league_code,date,home_team,away_team,home_goals,away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,home_odds,draw_odds,away_odds,hour,weekday,ft_result_raw,home_points,away_points,goal_diff,goals_total,ht_result_raw,ht_goal_diff,ht_goals_total
P1,2015-12-05,Maritimo,Sp Lisbon,0.0,1.0,A,0.0,0.0,D,7.5,3.8,1.5,,5.0,A,0.0,3.0,-1.0,1.0,D,0.0,0.0
P1,2015-12-05,Porto,Pacos Ferreira,2.0,1.0,H,1.0,1.0,D,1.18,6.5,15.0,,5.0,H,3.0,0.0,1.0,3.0,D,0.0,2.0
P1,2015-12-06,Arouca,Boavista,3.0,2.0,H,2.0,2.0,D,2.15,3.0,3.75,,6.0,H,3.0,0.0,1.0,5.0,D,0.0,4.0
P1,2015-12-06,Estoril,Nacional,1.0,1.0,D,0.0,0.0,D,2.38,3.1,3.1,,6.0,D,1.0,1.0,0.0,2.0,D,0.0,0.0
P1,2015-12-06,Moreirense,Sp Braga,0.0,0.0,D,0.0,0.0,D,5.75,3.3,1.7,,6.0,D,1.0,1.0,0.0,0.0,D,0.0,0.0
P1,2015-12-06,Uniao Madeira,Tondela,2.0,0.0,H,1.0,0.0,H,2.1,3.0,4.0,,6.0,H,3.0,0.0,2.0,2.0,H,1.0,1.0
P1,2015-12-07,Guimaraes,Rio Ave,3.0,1.0,H,1.0,1.0,D,2.3,3.1,3.3,,0.0,H,3.0,0.0,2.0,4.0,D,0.0,2.0
P1,2015-12-11,Boavista,Estoril,1.0,1.0,D,1.0,1.0,D,2.6,2.9,3.0,,4.0,D,1.0,1.0,0.0,2.0,D,0.0,2.0
P1,2015-12-12,Guimaraes,Maritimo,3.0,4.0,A,1.0,2.0,A,2.4,3.0,3.2,,5.0,A,0.0,3.0,-1.0,7.0,A,-1.0,3.0
P1,2015-12-12,Pacos Ferreira,Uniao Madeira,6.0,0.0,H,3.0,0.0,H,1.8,3.2,5.0,,5.0,H,3.0,0.0,6.0,6.0,H,3.0,3.0
P1,2015-12-12,Rio Ave,Arouca,3.0,1.0,H,1.0,0.0,H,2.0,3.1,4.2,,5.0,H,3.0,0.0,2.0,4.0,H,1.0,1.0
P1,2015-12-12,Setubal,Benfica,2.0,4.0,A,0.0,2.0,A,7.0,4.33,1.44,,5.0,A,0.0,3.0,-2.0,6.0,A,-2.0,2.0
P1,2015-12-13,Sp Lisbon,Moreirense,3.0,1.0,H,2.0,0.0,H,1.17,7.0,15.0,,6.0,H,3.0,0.0,2.0,4.0,H,2.0,2.0
P1,2015-12-13,Tondela,Sp Braga,0.0,1.0,A,0.0,0.0,D,7.0,3.75,1.53,,6.0,A,0.0,3.0,-1.0,1.0,D,0.0,0.0
P1,2015-12-14,Academica,Belenenses,4.0,3.0,H,2.0,1.0,H,2.5,3.0,3.0,,0.0,H,3.0,0.0,1.0,7.0,H,1.0,3.0
P1,2015-12-14,Nacional,Porto,1.0,2.0,A,1.0,2.0,A,7.5,4.5,1.4,,0.0,A,0.0,3.0,-1.0,3.0,A,-1.0,3.0
P1,2015-12-15,Uniao Madeira,Benfica,0.0,0.0,D,0.0,0.0,D,10.0,4.75,1.33,,1.0,D,1.0,1.0,0.0,0.0,D,0.0,0.0
P1,2015-12-19,Arouca,Maritimo,4.0,1.0,H,2.0,0.0,H,2.5,3.2,2.88,,5.0,H,3.0,0.0,3.0,5.0,H,2.0,2.0
P1,2015-12-19,Estoril,Guimaraes,0.0,1.0,A,0.0,1.0,A,2.2,3.1,3.5,,5.0,A,0.0,3.0,-1.0,1.0,A,-1.0,1.0
P1,2015-12-20,Benfica,Rio Ave,3.0,1.0,H,1.0,1.0,D,1.29,4.5,15.0,,6.0,H,3.0,0.0,2.0,4.0,D,0.0,2.0
P1,2015-12-20,Moreirense,Nacional,2.0,0.0,H,2.0,0.0,H,2.5,3.25,2.8,,6.0,H,3.0,0.0,2.0,2.0,H,2.0,2.0
P1,2015-12-20,Porto,Academica,3.0,1.0,H,1.0,0.0,H,1.14,7.0,21.0,,6.0,H,3.0,0.0,2.0,4.0,H,1.0,1.0
P1,2015-12-20,Tondela,Setubal,1.0,3.0,A,1.0,3.0,A,2.8,3.25,2.5,,6.0,A,0.0,3.0,-2.0,4.0,A,-2.0,4.0
P1,2015-12-20,Uniao Madeira,Sp Lisbon,1.0,0.0,H,0.0,0.0,D,9.0,5.0,1.33,,6.0,H,3.0,0.0,1.0,1.0,D,0.0,0.0
P1,2015-12-21,Belenenses,Boavista,1.0,0.0,H,1.0,0.0,H,2.2,3.1,3.5,,0.0,H,3.0,0.0,1.0,1.0,H,1.0,1.0
P1,2015-12-21,Sp Braga,Pacos Ferreira,1.0,1.0,D,1.0,0.0,H,1.62,3.4,6.5,,0.0,D,1.0,1.0,0.0,2.0,H,1.0,1.0
P1,2016-01-02,Academica,Uniao Madeira,3.0,1.0,H,1.0,1.0,D,2.38,3.0,3.2,,5.0,H,3.0,0.0,2.0,4.0,D,0.0,2.0
P1,2016-01-02,Boavista,Moreirense,0.0,3.0,A,0.0,1.0,A,2.5,3.0,3.0,,5.0,A,0.0,3.0,-3.0,3.0,A,-1.0,1.0
P1,2016-01-02,Guimaraes,Benfica,0.0,1.0,A,0.0,0.0,D,6.5,3.8,1.53,,5.0,A,0.0,3.0,-1.0,1.0,D,0.0,0.0
P1,2016-01-02,Maritimo,Estoril,1.0,1.0,D,1.0,0.0,H,1.91,3.3,4.2,,5.0,D,1.0,1.0,0.0,2.0,H,1.0,1.0
P1,2016-01-02,Nacional,Arouca,2.0,2.0,D,1.0,2.0,A,2.05,3.1,4.0,,5.0,D,1.0,1.0,0.0,4.0,A,-1.0,3.0
P1,2016-01-02,Pacos Ferreira,Belenenses,2.0,2.0,D,1.0,1.0,D,1.85,3.5,4.2,,5.0,D,1.0,1.0,0.0,4.0,D,0.0,2.0
P1,2016-01-02,Setubal,Sp Braga,1.0,1.0,D,1.0,0.0,H,4.0,3.4,1.91,,5.0,D,1.0,1.0,0.0,2.0,H,1.0,1.0
P1,2016-01-02,Sp Lisbon,Porto,2.0,0.0,H,1.0,0.0,H,2.4,3.2,3.0,,5.0,H,3.0,0.0,2.0,2.0,H,1.0,1.0
P1,2016-01-03,Rio Ave,Tondela,2.0,3.0,A,1.0,0.0,H,1.57,3.5,7.0,,6.0,A,0.0,3.0,-1.0,5.0,H,1.0,1.0
P1,2016-01-06,Arouca,Estoril,1.0,0.0,H,1.0,0.0,H,2.38,3.1,3.1,,2.0,H,3.0,0.0,1.0,1.0,H,1.0,1.0
P1,2016-01-06,Belenenses,Nacional,2.0,2.0,D,0.0,1.0,A,2.45,3.1,3.0,,2.0,D,1.0,1.0,0.0,4.0,A,-1.0,1.0
P1,2016-01-06,Benfica,Maritimo,6.0,0.0,H,3.0,0.0,H,1.33,5.0,9.0,,2.0,H,3.0,0.0,6.0,6.0,H,3.0,3.0
P1,2016-01-06,Moreirense,Guimaraes,3.0,4.0,A,1.0,3.0,A,2.63,3.1,2.75,,2.0,A,0.0,3.0,-1.0,7.0,A,-2.0,4.0
P1,2016-01-06,Porto,Rio Ave,1.0,1.0,D,1.0,1.0,D,1.18,6.5,15.0,,2.0,D,1.0,1.0,0.0,2.0,D,0.0,2.0
P1,2016-01-06,Setubal,Sp Lisbon,0.0,6.0,A,0.0,2.0,A,8.5,4.33,1.4,,2.0,A,0.0,3.0,-6.0,6.0,A,-2.0,2.0
P1,2016-01-06,Sp Braga,Academica,3.0,0.0,H,2.0,0.0,H,1.3,5.0,11.0,,2.0,H,3.0,0.0,3.0,3.0,H,2.0,2.0
P1,2016-01-06,Tondela,Pacos Ferreira,0.0,2.0,A,0.0,1.0,A,3.5,3.1,2.2,,2.0,A,0.0,3.0,-2.0,2.0,A,-1.0,1.0
P1,2016-01-06,Uniao Madeira,Boavista,1.0,0.0,H,0.0,0.0,D,2.25,3.0,3.5,,2.0,H,3.0,0.0,1.0,1.0,D,0.0,0.0
P1,2016-01-09,Guimaraes,Arouca,2.0,2.0,D,2.0,0.0,H,2.0,3.3,3.8,,5.0,D,1.0,1.0,0.0,4.0,H,2.0,2.0
P1,2016-01-10,Academica,Tondela,2.0,1.0,H,0.0,1.0,A,2.0,3.1,4.2,,6.0,H,3.0,0.0,1.0,3.0,A,-1.0,1.0
P1,2016-01-10,Boavista,Porto,0.0,5.0,A,0.0,1.0,A,15.0,5.25,1.25,,6.0,A,0.0,3.0,-5.0,5.0,A,-1.0,1.0
P1,2016-01-10,Estoril,Belenenses,2.0,0.0,H,0.0,0.0,D,2.1,3.1,3.75,,6.0,H,3.0,0.0,2.0,2.0,D,0.0,0.0
P1,2016-01-10,Maritimo,Moreirense,5.0,1.0,H,2.0,0.0,H,2.0,3.2,4.0,,6.0,H,3.0,0.0,4.0,6.0,H,2.0,2.0
P1,2016-01-10,Rio Ave,Uniao Madeira,1.0,0.0,H,1.0,0.0,H,1.75,3.5,4.75,,6.0,H,3.0,0.0,1.0,1.0,H,1.0,1.0
P1,2016-01-10,Sp Lisbon,Sp Braga,3.0,2.0,H,0.0,2.0,A,1.57,3.8,6.0,,6.0,H,3.0,0.0,1.0,5.0,A,-2.0,2.0
P1,2016-01-11,Nacional,Benfica,1.0,4.0,A,0.0,1.0,A,5.0,4.0,1.62,,0.0,A,0.0,3.0,-3.0,5.0,A,-1.0,1.0
P1,2016-01-11,Pacos Ferreira,Setubal,2.0,1.0,H,1.0,1.0,D,1.85,3.3,4.5,,0.0,H,3.0,0.0,1.0,3.0,D,0.0,2.0
P1,2016-01-15,Sp Lisbon,Tondela,2.0,2.0,D,0.0,1.0,A,1.08,10.0,23.0,,4.0,D,1.0,1.0,0.0,4.0,A,-1.0,1.0
P1,2016-01-16,Academica,Pacos Ferreira,1.0,1.0,D,1.0,1.0,D,3.0,3.2,2.38,,5.0,D,1.0,1.0,0.0,2.0,D,0.0,2.0
P1,2016-01-16,Estoril,Benfica,1.0,2.0,A,1.0,0.0,H,8.0,4.0,1.45,,5.0,A,0.0,3.0,-1.0,3.0,H,1.0,1.0
P1,2016-01-16,Maritimo,Uniao Madeira,0.0,1.0,A,0.0,0.0,D,1.67,3.75,5.0,,5.0,A,0.0,3.0,-1.0,1.0,D,0.0,0.0
P1,2016-01-17,Arouca,Moreirense,1.0,2.0,A,1.0,1.0,D,2.05,3.2,3.8,,6.0,A,0.0,3.0,-1.0,3.0,D,0.0,2.0
P1,2016-01-17,Guimaraes,Porto,1.0,0.0,H,1.0,0.0,H,8.5,4.33,1.4,,6.0,H,3.0,0.0,1.0,1.0,H,1.0,1.0
P1,2016-01-17,Nacional,Sp Braga,2.0,3.0,A,1.0,1.0,D,4.0,3.4,1.91,,6.0,A,0.0,3.0,-1.0,5.0,D,0.0,2.0
P1,2016-01-17,Rio Ave,Belenenses,1.0,2.0,A,1.0,2.0,A,1.8,3.5,4.5,,6.0,A,0.0,3.0,-1.0,3.0,A,-1.0,3.0
P1,2016-01-18,Boavista,Setubal,4.0,0.0,H,1.0,0.0,H,2.7,3.0,2.8,,0.0,H,3.0,0.0,4.0,4.0,H,1.0,1.0
P1,2016-01-22,Setubal,Academica,2.0,1.0,H,1.0,0.0,H,2.25,3.0,3.5,,4.0,H,3.0,0.0,1.0,3.0,H,1.0,1.0
P1,2016-01-23,Benfica,Arouca,3.0,1.0,H,2.0,0.0,H,1.17,6.5,19.0,,5.0,H,3.0,0.0,2.0,4.0,H,2.0,2.0
P1,2016-01-23,Moreirense,Estoril,1.0,3.0,A,1.0,2.0,A,2.38,3.0,3.2,,5.0,A,0.0,3.0,-2.0,4.0,A,-1.0,3.0
P1,2016-01-23,Pacos Ferreira,Sp Lisbon,1.0,3.0,A,0.0,1.0,A,8.5,4.0,1.44,,5.0,A,0.0,3.0,-2.0,4.0,A,-1.0,1.0
P1,2016-01-23,Uniao Madeira,Nacional,3.0,0.0,H,2.0,0.0,H,3.1,3.1,2.38,,5.0,H,3.0,0.0,3.0,3.0,H,2.0,2.0
P1,2016-01-24,Belenenses,Guimaraes,3.0,3.0,D,2.0,2.0,D,2.6,3.0,2.9,,6.0,D,1.0,1.0,0.0,6.0,D,0.0,4.0
P1,2016-01-24,Porto,Maritimo,1.0,0.0,H,1.0,0.0,H,1.17,6.5,17.0,,6.0,H,3.0,0.0,1.0,1.0,H,1.0,1.0
P1,2016-01-24,Sp Braga,Rio Ave,5.0,1.0,H,2.0,0.0,H,1.53,3.9,6.25,,6.0,H,3.0,0.0,4.0,6.0,H,2.0,2.0
P1,2016-01-25,Tondela,Boavista,1.0,2.0,A,1.0,1.0,D,2.5,3.0,3.0,,0.0,A,0.0,3.0,-1.0,3.0,D,0.0,2.0
P1,2016-01-29,Guimaraes,Uniao Madeira,3.0,1.0,H,1.0,1.0,D,1.62,3.75,5.75,,4.0,H,3.0,0.0,2.0,4.0,D,0.0,2.0
P1,2016-01-30,Estoril,Porto,1.0,3.0,A,1.0,2.0,A,9.0,5.0,1.33,,5.0,A,0.0,3.0,-2.0,4.0,A,-1.0,3.0
P1,2016-01-30,Sp Lisbon,Academica,3.0,2.0,H,2.0,1.0,H,1.17,7.0,15.0,,5.0,H,3.0,0.0,1.0,5.0,H,1.0,3.0
P1,2016-01-31,Arouca,Pacos Ferreira,2.0,2.0,D,0.0,1.0,A,2.5,3.1,2.9,,6.0,D,1.0,1.0,0.0,4.0,A,-1.0,1.0
P1,2016-01-31,Boavista,Sp Braga,0.0,0.0,D,0.0,0.0,D,6.0,3.6,1.6,,6.0,D,1.0,1.0,0.0,0.0,D,0.0,0.0
P1,2016-01-31,Moreirense,Benfica,1.0,4.0,A,0.0,2.0,A,11.0,5.0,1.29,,6.0,A,0.0,3.0,-3.0,5.0,A,-2.0,2.0
P1,2016-01-31,Nacional,Tondela,3.0,1.0,H,2.0,0.0,H,1.62,3.5,6.25,,6.0,H,3.0,0.0,2.0,4.0,H,2.0,2.0
P1,2016-01-31,Rio Ave,Setubal,2.0,1.0,H,2.0,0.0,H,1.83,3.25,4.75,,6.0,H,3.0,0.0,1.0,3.0,H,2.0,2.0
P1,2016-02-01,Maritimo,Belenenses,1.0,2.0,A,0.0,1.0,A,1.85,3.4,4.33,,0.0,A,0.0,3.0,-1.0,3.0,A,-1.0,1.0
P1,2016-02-05,Belenenses,Benfica,0.0,5.0,A,0.0,1.0,A,11.0,4.75,1.3,,4.0,A,0.0,3.0,-5.0,5.0,A,-1.0,1.0
P1,2016-02-06,Setubal,Maritimo,1.0,1.0,D,1.0,0.0,H,2.75,3.25,2.55,,5.0,D,1.0,1.0,0.0,2.0,H,1.0,1.0
P1,2016-02-06,Tondela,Guimaraes,1.0,1.0,D,1.0,1.0,D,3.8,3.2,2.05,,5.0,D,1.0,1.0,0.0,2.0,D,0.0,2.0
P1,2016-02-07,Academica,Nacional,2.0,2.0,D,1.0,0.0,H,2.8,3.2,2.55,,6.0,D,1.0,1.0,0.0,4.0,H,1.0,1.0
P1,2016-02-07,Pacos Ferreira,Boavista,0.0,1.0,A,0.0,0.0,D,2.0,3.1,4.2,,6.0,A,0.0,3.0,-1.0,1.0,D,0.0,0.0
P1,2016-02-07,Porto,Arouca,1.0,2.0,A,1.0,1.0,D,1.17,6.5,19.0,,6.0,A,0.0,3.0,-1.0,3.0,D,0.0,2.0
P1,2016-02-07,Uniao Madeira,Moreirense,0.0,1.0,A,0.0,1.0,A,2.3,3.3,3.1,,6.0,A,0.0,3.0,-1.0,1.0,A,-1.0,1.0
P1,2016-02-08,Sp Braga,Estoril,2.0,0.0,H,0.0,0.0,D,1.5,4.0,7.0,,0.0,H,3.0,0.0,2.0,2.0,D,0.0,0.0
P1,2016-02-08,Sp Lisbon,Rio Ave,0.0,0.0,D,0.0,0.0,D,1.22,5.5,15.0,,0.0,D,1.0,1.0,0.0,0.0,D,0.0,0.0
P1,2016-02-12,Benfica,Porto,1.0,2.0,A,1.0,1.0,D,2.15,3.1,3.5,,4.0,A,0.0,3.0,-1.0,3.0,D,0.0,2.0
P1,2016-02-13,Guimaraes,Setubal,2.0,2.0,D,1.0,1.0,D,1.8,3.3,4.75,,5.0,D,1.0,1.0,0.0,4.0,D,0.0,2.0
P1,2016-02-13,Moreirense,Belenenses,2.0,3.0,A,1.0,2.0,A,2.3,3.1,3.3,,5.0,A,0.0,3.0,-1.0,5.0,A,-1.0,3.0
P1,2016-02-13,Nacional,Sp Lisbon,0.0,4.0,A,0.0,1.0,A,7.0,4.33,1.44,,5.0,A,0.0,3.0,-4.0,4.0,A,-1.0,1.0
P1,2016-02-14,Arouca,Uniao Madeira,3.0,0.0,H,1.0,0.0,H,1.75,3.5,4.75,,6.0,H,3.0,0.0,3.0,3.0,H,1.0,1.0
P1,2016-02-14,Boavista,Academica,0.0,0.0,D,0.0,0.0,D,2.05,3.1,4.0,,6.0,D,1.0,1.0,0.0,0.0,D,0.0,0.0
P1,2016-02-14,Estoril,Tondela,2.0,1.0,H,1.0,1.0,D,1.85,3.4,4.33,,6.0,H,3.0,0.0,1.0,3.0,D,0.0,2.0
P1,2016-02-14,Maritimo,Sp Braga,1.0,3.0,A,1.0,3.0,A,4.5,3.4,1.83,,6.0,A,0.0,3.0,-2.0,4.0,A,-2.0,4.0
P1,2016-02-15,Rio Ave,Pacos Ferreira,1.0,1.0,D,0.0,1.0,A,1.95,3.2,4.2,,0.0,D,1.0,1.0,0.0,2.0,A,-1.0,1.0
P1,2016-02-19,Uniao Madeira,Estoril,1.0,1.0,D,1.0,0.0,H,2.6,3.0,2.9,,4.0,D,1.0,1.0,0.0,2.0,H,1.0,1.0
P1,2016-02-20,Academica,Rio Ave,0.0,2.0,A,0.0,1.0,A,2.88,3.0,2.63,,5.0,A,0.0,3.0,-2.0,2.0,A,-1.0,1.0
P1,2016-02-20,Pacos Ferreira,Benfica,1.0,3.0,A,1.0,2.0,A,9.0,5.0,1.33,,5.0,A,0.0,3.0,-2.0,4.0,A,-1.0,3.0
P1,2016-02-21,Belenenses,Arouca,0.0,2.0,A,0.0,0.0,D,2.38,3.1,3.1,,6.0,A,0.0,3.0,-2.0,2.0,D,0.0,0.0
